trial primary/dMass cbp/dOrbPeriod cbp/dMass cbp/dEnvelopeMass 
rand_0000 0.971392 -27.557462 -0.902668 -0.007161 
rand_0001 0.430000 -28.362173 -4.280435 -0.490356 
rand_0002 0.990000 -25.981140 -2.035653 -0.065010 
rand_0003 0.780000 -27.705677 -2.528464 -0.114047 
rand_0004 1.225745 -17.034146 -1.318639 -0.019983 
rand_0005 1.041304 -10.494211 -1.694895 -0.039631 
rand_0006 1.169760 -43.824490 -2.899193 -0.167828 
rand_0007 0.812633 -29.400063 -2.606648 -0.125903 
rand_0008 0.970000 -28.908179 -3.804144 -0.353274 
rand_0009 0.460000 -45.939390 -3.804639 -0.348645 
rand_0010 1.017430 -20.553745 -1.656798 -0.037103 
rand_0011 1.080000 -55.826198 -4.218939 -0.469273 
rand_0012 0.870000 -24.686368 -4.048481 -0.414079 
rand_0013 1.155092 -40.066786 -2.112294 -0.071752 
rand_0014 0.870000 -42.739695 -3.303867 -0.239598 
rand_0015 0.810000 -31.461713 -8.411737 -2.978923 
rand_0016 0.140041 -37.269190 -1.799584 -0.045676 
rand_0017 0.728775 -28.638502 -0.720609 -0.003883 
rand_0018 1.135996 -17.588717 -0.712037 -0.003827 
rand_0019 0.339062 -49.315452 -2.376769 -0.098819 
rand_0020 1.129290 -38.339216 -3.107440 -0.198800 
rand_0021 1.300000 -53.942065 -3.080022 -0.198173 
rand_0022 0.940000 -26.046396 -7.083988 -1.847745 
rand_0023 0.810000 -33.328023 -4.715109 -0.619792 
rand_0024 1.200000 -53.967607 -3.103843 -0.204563 
rand_0025 1.296998 -28.695295 -2.111723 -0.070305 
rand_0026 1.319432 -37.533361 -2.203933 -0.080128 
rand_0027 1.320293 -12.133748 -1.553020 -0.030986 
rand_0028 0.867448 -32.276351 -1.116507 -0.012779 
rand_0029 0.886107 -35.182655 -2.121527 -0.072373 
rand_0030 1.039245 -40.391669 -2.292158 -0.089297 
rand_0031 0.625534 -49.574206 -2.671668 -0.137304 
rand_0032 1.097372 -36.654736 -0.990049 -0.009193 
rand_0033 1.310000 -19.043667 -6.600820 -1.533706 
rand_0034 0.583516 -49.478134 -0.310951 -0.000408 
rand_0035 0.739293 -42.257714 -1.438459 -0.024631 
rand_0036 1.050000 -57.571177 -2.506545 -0.114872 
rand_0037 1.390650 -33.042575 -2.807066 -0.152245 
rand_0038 0.654554 -25.362953 -1.389292 -0.023027 
rand_0039 0.510000 -15.549500 -1.768649 -0.044629 
rand_0040 1.116455 -26.578529 -1.980349 -0.059411 
rand_0041 1.020000 -17.460392 -5.656864 -1.037841 
rand_0042 1.080000 -17.892846 -4.847344 -0.679714 
rand_0043 1.080000 -22.390586 -5.099177 -0.765609 
rand_0044 0.970000 -51.737274 -1.256750 -0.017342 
rand_0045 0.966287 -18.885682 -2.834762 -0.157532 
rand_0046 0.796243 -14.220097 -2.917625 -0.170181 
rand_0047 0.780000 -11.074982 -2.504963 -0.114356 
rand_0048 0.423759 -30.088473 -3.083908 -0.200471 
rand_0049 0.970000 -20.544542 -1.338209 -0.020684 
rand_0050 0.840000 -41.640361 -3.386388 -0.254971 
rand_0051 0.980000 -54.930213 -3.113684 -0.203282 
rand_0052 0.850000 -10.235923 -3.439674 -0.267431 
rand_0053 0.900000 -53.488712 -7.674317 -2.345348 
rand_0054 0.340000 -16.383707 -1.406563 -0.023345 
rand_0055 0.518899 -24.396127 -1.908009 -0.054588 
rand_0056 1.000000 -46.357940 -3.229243 -0.225017 
rand_0057 0.700000 -12.155158 -7.499528 -2.215532 
rand_0058 1.190000 -40.421878 -4.838143 -0.669238 
rand_0059 0.620000 -11.706953 -2.666091 -0.133412 
rand_0060 1.061940 -46.246866 -0.950689 -0.008371 
rand_0061 0.320000 -50.347457 -1.960101 -0.058384 
rand_0062 0.940000 -45.539277 -3.865564 -0.359087 
rand_0063 0.990000 -38.244517 -7.875170 -2.470110 
rand_0064 0.178779 -27.319497 -1.741702 -0.042931 
rand_0065 1.175732 -29.256183 -0.526038 -0.001691 
rand_0066 0.470583 -41.711910 -3.757526 -0.337596 
rand_0067 1.218220 -44.832125 -2.907414 -0.168281 
rand_0068 0.830000 -30.137209 -5.572538 -0.977894 
rand_0069 0.970000 -22.960666 -3.114170 -0.202971 
rand_0070 1.010000 -50.017596 -1.120017 -0.012937 
rand_0071 0.920000 -13.834756 -3.953535 -0.384952 
rand_0072 1.249211 -38.833878 -2.466093 -0.108306 
rand_0073 0.780314 -25.037377 -2.562612 -0.121273 
rand_0074 0.850000 -15.720344 -2.107883 -0.070145 
rand_0075 0.950000 -33.356939 -5.895041 -1.129831 
rand_0076 1.260000 -56.302176 -4.786750 -0.654568 
rand_0077 1.230000 -27.241211 -2.720223 -0.142099 
rand_0078 0.980000 -33.298119 -2.757885 -0.146232 
rand_0079 0.700000 -39.123100 -2.974097 -0.179911 
rand_0080 0.303543 -14.222772 -0.575245 -0.002125 
rand_0081 1.090000 -15.146186 -5.280674 -0.850453 
rand_0082 1.180000 -33.304083 -2.495349 -0.109780 
rand_0083 0.943732 -11.476971 -2.200229 -0.079392 
rand_0084 1.060000 -27.853927 -3.665186 -0.315192 
rand_0085 1.030000 -28.040569 -0.437726 -0.001027 
rand_0086 0.732344 -49.944101 -1.121628 -0.012951 
rand_0087 0.540000 -27.266220 -1.488495 -0.028023 
rand_0088 0.813609 -25.180959 -1.255411 -0.017547 
rand_0089 1.320000 -19.864263 -5.580788 -0.968549 
rand_0090 0.630000 -13.911786 -6.513368 -1.495753 
rand_0091 0.760000 -47.332051 -3.591199 -0.297390 
rand_0092 0.900000 -45.036548 -5.107157 -0.776403 
rand_0093 0.942354 -40.139999 -2.662452 -0.133833 
rand_0094 0.970571 -13.783836 -1.537158 -0.030099 
rand_0095 0.914178 -49.632572 -1.593629 -0.033166 
rand_0096 0.210557 -38.948661 -1.420352 -0.024565 
rand_0097 0.957762 -27.400824 -0.276952 -0.000292 
rand_0098 0.355060 -15.436261 -1.405722 -0.023556 
rand_0099 1.030000 -14.887437 -2.749251 -0.145341 
rand_0100 0.810000 -37.401968 -5.946059 -1.154829 
rand_0101 1.150000 -47.040783 -4.993190 -0.723517 
rand_0102 1.393056 -22.356761 -1.898005 -0.053841 
rand_0103 0.760000 -47.285753 -2.001028 -0.061044 
rand_0104 0.810000 -15.437257 -4.059431 -0.412790 
rand_0105 0.885076 -32.946624 -1.972027 -0.059785 
rand_0106 0.570000 -53.961309 -1.966722 -0.059122 
rand_0107 1.315324 -25.649101 -1.483363 -0.027420 
rand_0108 0.913295 -29.456372 -1.626677 -0.035521 
rand_0109 0.720000 -56.317123 -2.294373 -0.089694 
rand_0110 1.038471 -24.875295 -0.644139 -0.002840 
rand_0111 0.990000 -51.244227 -7.036986 -1.824291 
rand_0112 1.073110 -14.867524 -1.549821 -0.031026 
rand_0113 0.800000 -16.161376 -1.160897 -0.014074 
