stellar_mass	orb_period	planet_mass	env_mass
1.08	-18.617504789356744	-3.6070792440371857	-1.2390275871363616
0.71	-43.09244083637454	-3.071039720432053	-1.1727487245537063
1.08	-42.859916649757366	-1.283283610553799	-1.1261592030149776
0.77	-49.87118136142439	-5.304081622334548	-1.1845313217581006
0.93	-35.10964032686466	-1.1101668423787252	-1.1920721138827213
0.78	-21.409021228598103	-4.298445270374758	-1.0993618063637518
0.47	-55.37364385529784	-1.4743983008448094	-1.2807078561071397
0.55	-23.828473208577453	-5.253179381100095	-1.061257268238666
0.58	-13.580001374271141	-1.4342784812380884	-1.0526318450610357
0.92	-51.72789062471095	-4.382427395053566	-1.255455704302259
1.01	-46.15643076955488	-3.2144242686769897	-1.1014730907286887
1.06	-17.340672475395554	-2.8771372716700263	-1.2125702095977702
0.98	-10.016464246801467	-3.553120816937346	-1.1689776748337288
1.03	-57.97740998723533	-5.651659148851044	-1.2401337647849886
0.94	-42.04801435834921	-4.495153893295687	-1.0186042108809512
0.88	-20.54666872591894	-0.5996347737198784	-1.2854229875928878
1.0	-58.50741474987612	-2.957197236689071	-1.1930702771627157
0.97	-30.68801638308406	-2.9296004304708987	-1.3120251233842148
0.95	-36.828344322804725	-1.5151227817001574	-1.3317900109002967
0.81	-35.259710884964214	-3.60656226036349	-1.2107020899636283
0.96	-55.38676486138936	-5.200685607694758	-1.2537510474162652
0.45	-19.756495603057292	-3.4699717531222163	-1.061798407890456
1.04	-18.99950628535411	-3.301309837617689	-1.0794997133269761
1.07	-14.203175016815724	-3.6697524125349577	-1.1556636919703207
0.93	-40.954114432465275	-3.9657570835117024	-1.176820468866687
0.82	-43.13061671613322	-2.258777272214904	-1.0398739285309448
0.9	-53.88425417659958	-5.412578469419693	-1.1037505856041803
1.0	-15.303794235955584	-6.534798070428305	-1.295249483785568
1.08	-54.23515920362909	-3.7615048138844314	-1.0429385496829484
0.97	-34.56814281838578	-4.199594895815644	-1.0490661018064127
0.81	-49.28715887865092	-4.57833483625552	-1.1549460606244912
1.14	-18.290915729950605	-2.3792480597221606	-1.1550108272914208
1.09	-28.14467635941977	-1.708055148252504	-1.0865001293312666
0.67	-34.03763992780853	-5.210093691225364	-1.20864034551913
0.92	-55.311450310861034	-3.81180108113925	-1.0779666481464663
0.26	-14.903599596317658	-3.7939308658074298	-1.1971532127875246
0.92	-41.327423262571656	-2.461509970135417	-1.0955027327830233
0.89	-50.7088178124593	-5.0155130903513365	-1.138582926264633
0.61	-50.31596013862382	-5.376607577695805	-1.0862837257504634
0.95	-36.09149003494282	-1.1161875646277362	-1.2966845369921902
1.02	-25.9579397923355	-1.4861020741599131	-1.2237379648810414
0.78	-24.177642572859433	-3.073856811469102	-1.0911965981720522
0.83	-53.85922164257591	-0.9564100614619002	-1.1397467202593656
1.11	-22.531186680931334	-2.4029419267957284	-1.1626246887350102
0.97	-40.49066816361652	-4.7780669303221535	-1.2224534336279276
1.14	-39.46799132810591	-4.201905113229943	-1.1062215705859764
1.05	-36.99578036646862	-3.5248007490778512	-1.1099001820622558
1.35	-37.88768659476159	-1.6532557426629122	-1.1128644806354495
0.77	-47.082180340587776	-1.8923540721449554	-1.0805303735418657
0.91	-53.65429823127746	-4.136453362803997	-1.0437325942010893
0.85	-10.465286214338361	-4.364778954829703	-1.1844664527351718
1.04	-14.986195055718412	-2.0474174438877197	-1.09026951461502
1.05	-34.033690717787636	-2.167567416375399	-1.0967290413483075
1.16	-22.847114558526314	-5.040641586368097	-1.1797011603380445
1.06	-21.435968062925355	-2.894072803607004	-1.1113259252589494
1.21	-44.74687620677287	-0.10154777990109642	-1.3458824341846716
0.93	-58.11469343875763	-2.816389940934383	-1.280416840518496
0.88	-31.142116290654485	-5.505937064532106	-1.2681532251978462
0.85	-30.267811367212264	-2.4235548217007463	-1.0253847281881314
0.58	-28.77655067036529	-2.716861709835376	-1.2290585067670914
0.91	-32.80053063488816	-3.727823269365457	-1.0593477001980673
0.79	-51.224616281648	-5.541090429569016	-1.0589119098597515
0.97	-44.15419169410496	-4.965902896372077	-1.3445965296488087
1.18	-29.197707498181156	-2.678632310586929	-1.2975805972059413
1.23	-45.82704446581415	-4.61902260768238	-1.031667156645602
0.36	-26.548701058274602	-6.781190728965072	-1.2507641877415825
0.81	-10.748067357258991	-2.5242486392565437	-1.2606263314761976
0.48	-55.53140316709132	-2.442831050691103	-1.0342323344381885
1.12	-54.53239790927918	-4.403589117855103	-1.2741563466527432
1.16	-54.9262615008679	-4.013761415681944	-1.1462841435735482
1.04	-29.66245016764836	-5.998561074186918	-1.2387917189564248
0.29	-29.61741708302795	-2.420194776214071	-1.2698367692599861
0.82	-13.9190682823026	-4.8695375888303545	-1.0361782114449523
0.53	-49.90185186188322	-0.9608208097257771	-1.1257350946734084
0.69	-39.80448291600862	-4.047170426955968	-1.2070836271515506
0.85	-24.891048251806648	-0.7866313838284826	-1.2309542208245774
0.83	-53.48948273483444	-5.842941743741455	-1.3046402302928892
0.26	-22.913235814970584	-1.868044652200422	-1.0948418550050631
0.43	-53.95671632865168	-5.316389543690156	-1.170768513352067
1.03	-24.93122465910953	-0.2911797229016306	-1.2571566472824882
1.0	-46.90025016832379	-4.961004324562973	-1.0579695376222626
0.98	-40.29629590868558	-7.350189023306434	-1.2391736815112335
0.81	-42.21200572406966	-6.059387962574073	-1.114984344479016
0.91	-22.84490645466918	-7.943505012110917	-1.2136851272022415
0.94	-17.486959661193772	-3.3276844821782023	-1.1166757387401667
1.0	-38.95147793553114	-3.9846238007820043	-1.0761409984699253
0.24	-46.39965659513419	-4.199376271289843	-1.055306803692501
0.81	-42.20433762893841	-0.16523889883142012	-1.2131586366084184
0.92	-36.19321943060869	-4.069336713427566	-1.1695083649204145
1.09	-37.89509767961171	-1.5132391712312618	-1.1112112843880075
0.88	-17.29935351618191	-3.93856537394731	-1.0324597818734078
1.12	-26.975511841675072	-2.9553540628850534	-1.2377862436880138
0.85	-28.44215898396141	-4.149991831906264	-1.1072391174730867
0.8	-54.089545212206914	-3.56994221987014	-1.2728900017101354
0.93	-28.68944101854655	-5.195577575681512	-1.1762866466093183
0.89	-23.345559110538545	-7.159150691537303	-1.1949211932580137
0.75	-32.39776745682619	-5.076933628187633	-1.2522238574686653
0.96	-32.55491145573876	-2.615872305724054	-1.0124354966151556
1.05	-34.021144092108266	-4.294603247385922	-1.014034779615199
0.96	-28.4684211166958	-3.8940916873208105	-1.1149326909734603
0.9	-42.23567673025154	-3.2227005830590754	-1.0547906184716926
0.79	-41.72030014134637	-4.474365628683017	-1.2905797299904063
0.87	-40.929397453154024	-7.30964297957547	-1.1854904969236109
1.16	-23.623939670190495	-0.8509640496400936	-1.2663825687737584
0.92	-50.570818156512466	-4.5510644263040385	-1.212440330079501
0.83	-16.282092007192418	-2.061076444381281	-1.081095320652661
1.2	-37.144481352884426	-8.487223472865562	-1.2651746903233452
0.18	-14.015403359601216	-5.462730126177673	-1.2210072299476802
1.01	-20.119857164717356	-3.353952443741879	-1.310314905544872
1.11	-16.499065921570157	-6.217911764031296	-1.1874828400676347
0.9	-55.666261396387206	-5.261796519167512	-1.1885338598533406
0.78	-19.201427383796045	-2.974272155846361	-1.0939329139598446
0.78	-22.943841893274502	-3.450182827454743	-1.255730256089299
1.21	-36.916973233782144	-1.3002729881641488	-1.2054230718280354
0.17	-49.880319382685144	-2.322531660370781	-1.3311487166403198
0.95	-35.79499301756379	-1.5246398838936417	-1.0513060235615725
1.09	-10.667470533054287	-3.146937428250304	-1.2716175194073716
0.89	-12.250976878322302	-2.55958830054485	-1.0544922953360705
1.11	-51.91865436742822	-2.2074820051000748	-1.0827466368301633
1.06	-52.98878582643448	-2.4524750175567087	-1.1255848500688541
0.54	-25.350111285165198	-6.206307510595826	-1.0872678395405873
0.82	-26.65892561092908	-6.294756900747389	-1.2927598714485908
1.02	-10.07963927425193	-3.2514051328184275	-1.2492488786732288
0.78	-16.26935161854936	-3.954570072305869	-1.0294608204001092
0.96	-57.40617486152024	-4.282045260434765	-1.090058308688921
1.16	-40.94342804749267	-4.952955791392013	-1.2076130706428865
1.18	-55.12972228203601	-2.0557465911076664	-1.2906358735256
0.98	-39.354721584432795	-4.636718137620771	-1.0721663319685033
1.18	-51.54902674596095	-2.5286446578705126	-1.1659376745477947
1.14	-16.165352360667637	-4.700271696739907	-1.1666852195526678
1.2	-24.14499740224123	-6.727996054486951	-1.2048724973347746
0.94	-59.43162351264468	-3.5608957984599843	-1.0598079034005885
0.84	-24.96728788696141	-2.202418956801086	-1.1571074888893405
1.14	-16.01217088493457	-4.5642962738900525	-1.3057632357973186
0.83	-35.61202882671744	-4.493788466652343	-1.0450109152170324
0.97	-15.793788881980399	-0.5640547955086674	-1.2124642017947644
0.91	-15.490582836940199	-6.3117218345114825	-1.2300050078034306
0.7	-34.90718738983087	-6.073856352538941	-1.3185506464560086
0.72	-31.417958681956094	-7.435190004736667	-1.2810856827776183
1.14	-15.949397244585626	-8.660075066676335	-1.1632230453096137
0.17	-39.00478176738804	-5.410066915594323	-1.049047689511062
1.0	-32.13935362276048	-2.5854414328240494	-1.0917373000613393
1.12	-45.696414919641825	-4.73286901645264	-1.1009030726493823
0.93	-26.959925933465776	-5.427217187271575	-1.069683946090073
1.06	-47.09000247123585	-4.009403288708727	-1.0838080001797576
0.67	-50.68609138641571	-3.0761924650345316	-1.125422632394928
1.1	-41.06193856642429	-0.7857597997500427	-1.0308420933431388
1.13	-46.5494682427682	-3.69862211699305	-1.2848544152697485
1.23	-11.597581464556425	-2.938529572276615	-1.1072002833576773
1.15	-53.54043797746762	-5.441967842017931	-1.216822233574223
0.85	-44.13269673063718	-4.704597834301293	-1.337267913272808
0.19	-48.16531085689479	-1.278685719978235	-1.0165706945424258
1.15	-55.92444278880382	-2.7905998346742082	-1.3101176216852168
0.82	-23.334754556156263	-3.158155372688422	-1.3362175220974541
0.95	-12.853836445951424	-6.462949584322223	-1.2238938829896504
1.3	-38.225100479297616	-4.6945806128478615	-1.2879303089989373
0.99	-52.61445711374159	-3.2170848283927582	-1.2062672595054
0.22	-35.34168014656488	-1.2771980301760544	-1.0490728100502775
0.97	-24.51667095158364	-6.3996352234215355	-1.0320355708722175
1.32	-10.048428491002001	-5.856049948866561	-1.302995412079809
0.55	-30.661096478107616	-0.5101824357627558	-1.174091402245873
0.98	-55.46266672728948	-2.690354213290544	-1.1959017356541604
1.21	-59.49453607278246	-1.2310888764407917	-1.3010805810511248
0.88	-50.546251232755196	-4.242973844715316	-1.1311611614183232
1.09	-27.69458302674572	-6.071487530820026	-1.1501924671562436
0.7	-20.402093922118066	-5.148017427102259	-1.1421522518192377
1.19	-21.51586576354321	-3.623479117362284	-1.1654604149267807
0.29	-40.91487831212335	-3.1891662552476334	-1.3271544277406613
1.05	-26.84382365142618	-2.0034260173466674	-1.2519675222645419
1.16	-34.088871488003406	-4.501736920622592	-1.0934151061571944
0.73	-24.497057821004596	-2.45542027155068	-1.265090641160454
0.75	-37.3622011491823	-0.885021342642676	-1.2460027876295836
0.94	-14.750013288827986	-5.639120446623322	-1.3345905030982341
0.95	-41.04533363435972	-3.104881615157141	-1.1026673191263257
0.5	-54.60412410249518	-2.8433053031067055	-1.0200359960788132
0.84	-18.350229831130317	-3.7158227042143714	-1.1831248992927506
0.77	-56.73742942733099	-2.401362394937907	-1.071209646191838
1.1	-50.85236070616255	-6.0492276945903605	-1.3057842411765541
0.82	-20.465035305625808	-1.6515600548689444	-1.27309087361675
0.98	-51.76997694414786	-6.9279445710783065	-1.2823298805887795
1.04	-19.998205066244964	-5.907857804655633	-1.3326905615298361
1.0	-18.439026431817698	-2.518408772021195	-1.172853832966122
0.98	-59.00949769807191	-4.127146565352078	-1.1178190742915577
1.09	-34.015569073031216	-5.2305826310216235	-1.1264790296635696
0.92	-31.07879870154864	-2.571701284880042	-1.2036076600469436
0.96	-23.396538923423066	-4.664532413682554	-1.1245798459536855
0.84	-33.164418126962374	-5.148078615886024	-1.160832887472002
0.75	-10.595833788088562	-10.352578535071235	-1.2111684143127999
1.37	-58.63266161628719	-5.86381697854204	-1.2940913803620269
0.63	-12.385033729310159	-3.857833312770243	-1.2186089945270522
1.09	-13.22023756646872	-2.1087355714847997	-1.3252956357511168
0.98	-34.09857872762728	-6.08510043475353	-1.2708262967823385
1.15	-33.27445693017641	-1.6957680451199275	-1.1456835442850994
0.88	-32.30748361887713	-7.286778148184983	-1.227046866538216
0.89	-24.891825370917378	-8.939721461546426	-1.113841819449095
0.86	-47.22452246774158	-6.658172440573391	-1.3005281599990892
1.06	-54.88858682576992	-3.9746098264984546	-1.2549035222160843
0.61	-34.26388666253653	-2.456864675754725	-1.0568278920748446
1.28	-30.371923341799175	-1.1296255747823511	-1.1905018740837086
1.13	-55.937014997698924	-3.875897978833792	-1.2577486417694332
0.97	-20.882367392174487	-4.865596588029958	-1.0462657445142534
0.96	-48.78698111809628	-1.3069997964405047	-1.1062810641023229
0.11	-48.40963912052968	-2.9616717566959427	-1.2861405167163842
1.2	-34.67652153279842	-6.678917364579554	-1.3439964995981224
1.0	-44.04670802746419	-1.7408597532432606	-1.3152815403439966
0.74	-41.33404172998323	-4.557339475803376	-1.0724206181320872
0.91	-26.692615909480214	-5.417787928013751	-1.322151239899832
0.94	-52.44008746214807	-2.8102268693335883	-1.05387966801172
1.01	-32.87859940038818	-1.1792637320768946	-1.0325187524388417
0.93	-10.871983843978091	-1.1314941228693995	-1.2948804785674746
0.36	-25.31096310125264	-2.47482787780127	-1.243335819233959
0.8	-52.49935937796573	-1.1705944842288316	-1.2248463114084573
0.99	-11.08049551216708	-2.5223040310648397	-1.3223067043367494
1.25	-23.28732801491133	-4.525802286413999	-1.3491843650499047
0.73	-28.2728866381537	-3.811955917582396	-1.0527791191939684
1.21	-12.174001937447862	-4.0792650918792095	-1.3279473728566973
1.07	-27.671559759058376	-3.986851262275523	-1.0915745160536365
0.99	-34.2023138753045	-2.864598548726286	-1.247746319474175
1.09	-18.943208904271643	-3.6019286315514933	-1.200174091423094
0.64	-52.83903303813859	-2.364559113165084	-1.2281370738363806
1.03	-43.29609639506124	-1.0645328579176805	-1.2377337054540005
0.38	-28.950965279630104	-6.144136197490262	-1.1090519483100485
1.15	-44.35916151182183	-3.0265842899257076	-1.0707082382770534
1.33	-48.5062444352977	-3.3238565390055537	-1.2265275652808638
1.04	-46.17284513247069	-5.514996932269711	-1.1932022721622264
0.93	-39.575306180363036	-2.7059759893960784	-1.3248508899655278
1.04	-19.546317601079668	-6.688943638364876	-1.1122265748238984
0.64	-26.34438843545664	-5.713450126481952	-1.1049156943494092
1.34	-39.01390584588661	-4.065248905570062	-1.022488421947462
0.88	-51.96700107400769	-4.456150190443437	-1.1305561221604707
1.08	-44.003619423293586	-5.733103198154353	-1.094514870123723
1.07	-56.289698167498784	-3.2951918639600577	-1.0621435403418507
1.13	-44.27600919336788	-1.3550050299168799	-1.2489951897777587
1.09	-48.69523270257738	-1.726895566016951	-1.0457215915459832
0.44	-18.61577175785775	-4.498930835817545	-1.2717058043353642
1.12	-44.726442834957	-2.915577249394605	-1.1494745356867522
0.88	-11.481735494879082	-3.0822235779162748	-1.17176668644866
0.92	-56.34853448315063	-6.998610526040549	-1.2816399715162334
1.32	-36.714371231535765	-6.84481119925289	-1.3050998572363643
1.29	-20.74168806098374	-2.5632946077789676	-1.202672674388478
0.96	-14.812394162232847	-4.3258821625380826	-1.0347655384144574
0.43	-17.474875746399018	-3.905369782099199	-1.2133771067422152
0.37	-51.88342241232976	-3.2270974421878114	-1.3199200640623152
1.0	-40.493572391659114	-4.31640969341238	-1.0103725435672841
1.2	-41.77916087118928	-1.6646419717734073	-1.2677392558749667
0.79	-20.4293664589368	-1.9204845845166227	-1.0625253486730282
0.67	-31.881161924112313	-1.5266298544975037	-1.1229073118814978
0.72	-53.92052879565693	-3.146634810612038	-1.0984962283426862
1.21	-31.493595739974946	-5.362380147165204	-1.115478954206995
0.59	-50.177094228561565	-2.177938164398556	-1.1976625034084776
0.98	-49.49286651878169	-2.4596007320111006	-1.1042755391804262
0.84	-10.480863932014962	-2.7180908663300998	-1.1048540287446666
0.97	-10.81758176910981	-1.232376636642126	-1.3305028775567538
1.11	-35.95793498291454	-4.319484157163995	-1.1790160533328922
1.08	-14.933536224187968	-2.50539287617406	-1.13434027409656
0.34	-11.418088215740653	-6.728582380218594	-1.3086597930469266
1.09	-31.49930652008838	-1.6317196312284912	-1.2600070923523428
0.31	-44.337799325061404	-1.9856251599826926	-1.204333580798951
1.23	-43.6629505203972	-5.882512872437608	-1.0581783373492557
0.5	-12.937036139144572	-5.778199323524279	-1.1285994970833493
1.2	-13.261819543381828	-1.4641983739268576	-1.283325707186
0.93	-12.227437381421666	-7.58486230429429	-1.031233387635122
0.8	-51.96989074160067	-1.6212714288006163	-1.1513082460506725
0.99	-55.62921254768038	-3.012030661659648	-1.241508727614409
0.83	-28.23273211666791	-4.167925213427068	-1.3215161670483289
0.69	-34.87694948688653	-1.7977752217034282	-1.2890259726308697
1.18	-42.87471043274251	-1.7304782555815967	-1.3252144873824632
1.3	-45.04266452113758	-1.2246490522646634	-1.039057110006792
0.78	-26.26386591068818	-1.300669815598634	-1.3203777254566522
0.86	-34.33266400750735	-3.0341443909504657	-1.289561614826638
1.14	-31.82627140691311	-0.6334359735701639	-1.2112591915681963
0.53	-45.18528499324057	-2.0016493455646396	-1.164221805445849
0.91	-51.079062446112445	-5.670831725375258	-1.077119178477401
0.98	-40.238133984954516	-4.613211836725334	-1.1135281808523274
0.83	-31.331062660003326	-1.8067875284465382	-1.3409209255139662
1.06	-17.090775639880412	-2.2694519374521964	-1.3368913839033676
1.27	-18.104720780633556	-3.3728998681294913	-1.0195419032484923
0.68	-38.52408349773182	-4.0825204764718706	-1.2796743590778188
0.76	-45.65333132569837	-4.698544416329601	-1.1913293232839777
1.33	-55.295075454791494	-0.7985628542554692	-1.100987646398067
0.84	-17.87131925988454	-1.989765373657041	-1.0936497418945497
1.23	-23.65482917844888	-4.3114515616466775	-1.2630390011842871
0.83	-37.82995135755394	-2.279269402282167	-1.161526154245457
0.7	-45.592387538402356	-4.793802590566569	-1.3306404930403828
0.77	-37.65131287552312	-4.624168958834861	-1.2558686518526163
0.57	-21.393330507947862	-2.298499893694256	-1.310141782671479
0.14	-28.139163201412543	-1.7212388050600205	-1.3131414765149731
1.31	-54.32072145635673	-3.7452565101027737	-1.0554818580818999
0.8	-40.726293399163296	-1.948217577985456	-1.2195009181975207
1.09	-17.701610793097885	-10.66029548611774	-1.229875215900972
1.03	-30.696467985124773	-3.1887350167331787	-1.2410108989836366
0.97	-59.50921915508453	-7.493682784926971	-1.1364058813517375
0.55	-53.95524223168303	-4.364847906639671	-1.0542688754080731
1.22	-13.700654433576894	-8.154902375956533	-1.2896222639022203
0.75	-57.65860216047651	-0.5226409404116008	-1.2213482330577634
0.84	-59.52510176067462	-4.540045384957512	-1.115865352769132
0.59	-49.81367899260638	-3.1620310668910765	-1.160800358948842
1.04	-45.38606481629249	-3.2418807258307227	-1.1678899978056867
0.75	-16.33552836518959	-1.8467574042790775	-1.1382275451239787
1.03	-46.608821058528115	-4.991853898210413	-1.0652253190712615
0.54	-38.07722466496619	-4.416071702928369	-1.2658985664450302
0.79	-56.95706253163981	-2.9105356156593887	-1.1295704841897514
0.87	-59.913951793940335	-5.627898728400032	-1.2840417742508505
0.8	-31.669121707129296	-1.710551158783902	-1.2201171170620198
1.32	-54.15948372463933	-2.651904827876681	-1.1733238054258717
0.83	-46.26056081861665	-2.3514319217428197	-1.1958327016286412
0.57	-40.15898217972339	-1.4456992009646867	-1.3089449546256822
0.51	-48.66542020678675	-3.5990830874005475	-1.2465609304611696
0.99	-41.467923372162275	-5.175752496282081	-1.1415073951609398
0.75	-10.876284541436783	-2.146297609224569	-1.080170148777665
1.1	-58.137387605884136	-3.025246828866911	-1.1315096559798103
1.03	-57.925782740980694	-4.625699562398015	-1.0261879138332268
0.74	-32.72651097561099	-3.3921626731077748	-1.0335195203271568
1.02	-48.93809306093567	-8.666981207476093	-1.1406689824765517
0.41	-56.564763277942525	-2.742000658129627	-1.025800055560526
1.05	-25.261384881955657	-1.7105830074846327	-1.2375608245986083
1.08	-59.91346619110569	-3.1714795037505406	-1.0446420590855492
1.05	-41.82438667855294	-4.603457319188441	-1.0683774868038043
0.97	-21.170750757101732	-1.10239424571178	-1.0757881885751397
0.51	-22.266504157332406	-3.6344261921468766	-1.187707233778065
0.98	-27.487286596755812	-2.2635308490033856	-1.2593312255390228
0.88	-14.791123076471788	-7.579823908137207	-1.133731792480889
0.13	-59.66690945203431	-7.331456984244209	-1.090121863798846
1.05	-47.194433438796935	-4.833634634463089	-1.0207397052224454
0.92	-44.5751506093208	-5.005541254480569	-1.0978905618654065
1.09	-48.30330716586338	-0.6330686570303677	-1.2872182561424184
1.12	-29.467934667979797	-2.8249005851178017	-1.1863225358999476
1.03	-36.16433524417527	-1.5997795313605008	-1.1668082734055918
1.05	-19.3111590851518	-6.122364156628532	-1.3197480442256981
0.9	-53.28895807700789	-4.894223788503897	-1.2295734086685008
0.94	-28.873642439202325	-1.921308461754781	-1.3334769401364388
0.97	-48.169034406622444	-2.7660609745259985	-1.3220813892246903
1.2	-10.680224676563135	-6.9686161988815165	-1.1771945869220084
1.2	-46.20936674521501	-1.0919424688910198	-1.0619369038074373
1.08	-40.454264868172416	-3.792847259691615	-1.281337002558857
1.18	-10.225823343443038	-4.426927156357856	-1.241817321250716
0.93	-29.755381913033094	-0.5843426935629167	-1.2057247252924226
1.0	-35.50227366863613	-6.190019579019362	-1.3084454828022272
0.93	-34.42773965624997	-5.068781862739693	-1.2247423813578793
1.2	-19.612940868228936	-3.639924085956205	-1.0906878701973828
0.43	-34.20857626618873	-3.7255391903694006	-1.0526172473776918
0.89	-35.271954593736346	-2.800822747763512	-1.138095220554788
1.0	-58.29771064055311	-1.6638216577940987	-1.0395939744406435
0.95	-48.81956518248042	-3.9312780703048316	-1.2385391695875936
0.52	-59.79976574674152	-5.086064488747718	-1.287883582713115
1.26	-26.4264969534603	-3.318237001440714	-1.204672371051401
0.69	-16.378307496744235	-6.9378075655809575	-1.339430277192307
0.89	-23.07936258493535	-4.451458803844673	-1.106193452420432
1.16	-33.85694590327802	-4.895320691392236	-1.2917451659387993
1.23	-13.099871065539013	-4.479130573194428	-1.2649895504557473
0.99	-13.77640811475644	-0.6094841341598924	-1.1384833067782032
0.9	-13.062476796275575	-5.233408240273446	-1.2662475320038746
1.0	-14.718624476113936	-3.9469130491937543	-1.0809154230367033
1.16	-15.221939562419763	-2.558408747164265	-1.2202051052442906
1.19	-42.89667127282976	-1.142813999213259	-1.042169988355601
0.52	-55.37725581416648	-3.1120505643142407	-1.1810097778453352
1.32	-12.344216858804248	-0.14873422778050127	-1.1777736298804842
0.97	-31.938501390180846	-2.260405250209201	-1.2081659200699144
1.04	-10.351339427889775	-3.800979463311895	-1.0945492831086547
1.3	-11.809154048240902	-2.5529465288770363	-1.2605674537833598
0.84	-31.49917724911544	-3.1803312016518026	-1.1566894755772867
0.93	-17.49698095114644	-3.092399201953535	-1.3071840160637804
1.02	-39.76490972486275	-2.021152676777382	-1.0722239768783104
0.97	-58.326108612123484	-1.3007452646126714	-1.1260375073626416
0.85	-17.246057063348804	-1.8687368025880744	-1.1881250681398745
0.69	-59.94504531621146	-1.2374933972398188	-1.23000861707994
0.77	-11.550209970803213	-3.5357521337979843	-1.108893153832447
0.83	-49.02034623054795	-3.3993600458569206	-1.0308694143435142
0.46	-56.323887598680756	-1.97394708583716	-1.283256580525264
0.94	-37.5002358662648	-2.9355769760946497	-1.1486336300443478
1.13	-42.449935027462956	-2.1372692228310157	-1.296549470259912
0.23	-49.27984261302112	-3.6907252474207297	-1.297730994208814
1.11	-47.70340621722865	-2.5457823711168044	-1.3130417253572306
0.84	-40.0255204701113	-1.4899319601077696	-1.236153333854967
1.06	-18.566599474151595	-0.8148950668997292	-1.0414917854675843
1.07	-30.101879464189214	-7.615778226969261	-1.322864956098958
1.16	-29.49054673423671	-3.2739541217996337	-1.3462302453761632
0.83	-10.35299531629629	-4.036490598314581	-1.19844643807009
0.92	-22.634924844032962	-3.7203270161427646	-1.1274035693322497
1.07	-57.170139690771514	-0.883260439624002	-1.2821768891728085
