stellar_mass	planet_mass	env_mass
1.04	-3.511260650320979	-0.14045042601283916
1.21	-19.88648440225928	-0.7954593760903713
0.91	-7.684020910795619	-0.30736083643182477
0.98	-10.665749394997249	-0.42662997579989
0.85	-1.8864541430414152	-0.07545816572165662
1.0	-3.884695748620295	-0.1553878299448118
1.02	-13.288895522859615	-0.5315558209143846
0.37	-18.597867039767515	-0.7439146815907006
1.0	-7.540063575858505	-0.3016025430343402
0.96	-9.182997094035873	-0.36731988376143493
0.7	-27.85884011051533	-1.1143536044206133
0.79	-7.661275725924645	-0.3064510290369858
0.94	-14.847349674736657	-0.5938939869894663
1.13	-4.020225734464804	-0.16080902937859215
1.15	-6.6490528509520175	-0.2659621140380807
0.87	-12.303096717542397	-0.4921238687016959
0.82	-22.350711417248636	-0.8940284566899455
0.14	-13.394266999947295	-0.5357706799978919
1.05	-15.904417229821398	-0.636176689192856
0.92	-2.926168443105446	-0.11704673772421785
0.9	-4.198577596505732	-0.1679431038602293
0.82	-3.8612356417661235	-0.15444942567064496
0.95	-8.086498443062295	-0.3234599377224918
1.04	-5.43292158426812	-0.2173168633707248
1.15	-6.939366129882102	-0.2775746451952841
0.81	-1.8223690256641036	-0.07289476102656414
0.94	-25.449143879897143	-1.0179657551958858
0.92	-6.924148955218532	-0.27696595820874126
1.38	-6.511440333581108	-0.2604576133432443
0.51	-1.248966969455685	-0.049958678778227406
0.78	-4.011218949712488	-0.1604487579884995
1.09	-2.0162542392740765	-0.08065016957096306
0.77	-7.33488373920445	-0.29339534956817803
0.85	-17.978269185542096	-0.7191307674216839
1.25	-14.251855606804176	-0.570074224272167
0.79	-14.676202755883597	-0.5870481102353439
1.07	-25.56028701807833	-1.0224114807231333
0.94	-17.35542779650519	-0.6942171118602076
0.59	-3.0834949730083006	-0.12333979892033202
0.92	-17.74764764368923	-0.7099059057475693
0.73	-2.7712270972799393	-0.11084908389119758
0.65	-4.634019743347293	-0.18536078973389175
1.21	-16.544960056924495	-0.6617984022769798
1.06	-2.0967315058105234	-0.08386926023242093
0.2	-5.252653109185331	-0.21010612436741322
1.04	-5.958895261774827	-0.23835581047099308
0.59	-2.2960924496449726	-0.0918436979857989
0.88	-3.887701932307749	-0.15550807729230998
1.25	-9.545105004524693	-0.3818042001809877
0.22	-9.334856858561697	-0.37339427434246786
0.95	-11.764909673236922	-0.47059638692947686
0.7	-13.509232346271421	-0.5403692938508569
1.09	-4.623983524201319	-0.18495934096805275
0.62	-2.5558750187463373	-0.10223500074985349
0.21	-9.974422360598997	-0.3989768944239599
0.92	-2.794695287380928	-0.11178781149523712
0.85	-9.216648252897654	-0.36866593011590615
0.46	-4.856713744999496	-0.19426854979997984
1.05	-8.981133557683547	-0.3592453423073419
1.28	-3.6959412613525333	-0.14783765045410133
1.12	-3.3126270785778873	-0.1325050831431155
0.88	-0.7513547043892022	-0.030054188175568087
0.35	-1.8792563069035544	-0.07517025227614217
1.17	-3.457871235892828	-0.13831484943571312
1.19	-0.3378717793317363	-0.013514871173269452
0.86	-11.226845839518093	-0.4490738335807237
0.88	-7.325008156978971	-0.29300032627915884
0.86	-17.18314044335057	-0.6873256177340228
0.94	-3.5500794975844223	-0.1420031799033769
1.34	-19.487206463553672	-0.7794882585421469
0.24	-7.914807932359922	-0.3165923172943969
0.85	-10.035961486021838	-0.40143845944087353
0.64	-11.114646621455915	-0.4445858648582366
1.07	-18.697066981502964	-0.7478826792601185
1.01	-15.819301416629754	-0.6327720566651902
0.77	-5.227504867360203	-0.20910019469440813
0.92	-14.010046397365798	-0.560401855894632
0.99	-6.567639080237092	-0.2627055632094837
0.82	-17.532879614689236	-0.7013151845875695
0.29	-5.960826233941362	-0.2384330493576545
0.94	-5.0803045671983345	-0.2032121826879334
1.12	-4.746688889435552	-0.18986755557742208
1.03	-8.015888049069543	-0.3206355219627817
1.15	-2.0051908008199693	-0.08020763203279878
0.89	-5.567942559505854	-0.22271770238023414
0.88	-5.782266603408427	-0.2312906641363371
1.21	-4.596509243955678	-0.18386036975822712
0.55	-11.729237806367259	-0.46916951225469034
1.24	-4.819193106263304	-0.19276772425053218
1.09	-11.348215960567094	-0.4539286384226838
0.91	-7.956339264884724	-0.31825357059538895
0.78	-5.022748772046795	-0.20090995088187183
0.8	-12.580416613734071	-0.5032166645493629
1.19	-12.742269893730715	-0.5096907957492286
1.18	-12.081918248331236	-0.4832767299332495
1.2	-13.68963594739482	-0.5475854378957928
0.52	-4.059991939872376	-0.16239967759489501
0.96	-6.578124869177107	-0.2631249947670843
0.81	-2.8080326528186736	-0.11232130611274695
1.0	-10.768700520327036	-0.43074802081308144
0.93	-7.662962513092666	-0.30651850052370666
0.4	-11.9339975084028	-0.47735990033611203
1.04	-4.899317556102336	-0.19597270224409344
1.03	-11.69730725311777	-0.46789229012471084
0.57	-16.346297050167433	-0.6538518820066973
0.97	-15.96116270804628	-0.6384465083218512
0.76	-32.088081239226064	-1.2835232495690425
0.51	-9.347843849584855	-0.3739137539833942
0.58	-2.1978085528140396	-0.08791234211256159
0.95	-8.180563743741894	-0.3272225497496758
1.19	-4.457380008152311	-0.17829520032609245
0.86	-3.5229452068805873	-0.1409178082752235
0.62	-9.576987739784016	-0.38307950959136067
1.0	-9.626444648537543	-0.38505778594150175
0.81	-4.384868851577986	-0.17539475406311944
0.71	-22.20733609177526	-0.8882934436710105
0.94	-4.686203102090277	-0.18744812408361106
0.96	-0.7714523155200823	-0.030858092620803294
1.04	-8.323255296225545	-0.33293021184902183
0.81	-7.690103823165304	-0.30760415292661214
0.21	-13.462870046198654	-0.5385148018479462
0.56	-3.0714375104308367	-0.12285750041723346
0.8	-2.4888857597194436	-0.09955543038877775
1.14	-6.8874641819620255	-0.27549856727848104
1.04	-17.606924146398118	-0.7042769658559247
1.2	-0.9496142249006136	-0.037984568996024544
0.86	-10.438645800169922	-0.4175458320067969
0.73	-2.040107219793328	-0.08160428879173312
0.52	-3.8968693184397885	-0.15587477273759154
0.77	-15.06946355395011	-0.6027785421580044
0.58	-13.811716797118416	-0.5524686718847367
0.68	-10.131823787711879	-0.40527295150847514
0.94	-29.402829278027315	-1.1761131711210926
1.23	-12.073275920373348	-0.48293103681493393
0.79	-22.239831906858463	-0.8895932762743385
1.09	-2.2516038429778034	-0.09006415371911214
0.57	-7.320679667445754	-0.29282718669783014
0.59	-17.42736305921263	-0.6970945223685052
0.93	-1.6053092775044955	-0.06421237110017983
0.64	-7.097212522335781	-0.28388850089343126
1.07	-2.926675817436361	-0.11706703269745444
1.22	-2.013106517682857	-0.08052426070731429
1.13	-2.4940297177428117	-0.09976118870971247
1.08	-1.1925767315046742	-0.04770306926018697
0.58	-0.9063037840643173	-0.0362521513625727
1.06	-10.745683674856856	-0.4298273469942743
0.72	-11.41629027523701	-0.45665161100948043
0.97	-2.86383421273136	-0.11455336850925439
0.89	-13.274410555915722	-0.5309764222366289
1.12	-15.55141808103105	-0.6220567232412421
0.95	-7.63721275585374	-0.30548851023414964
0.98	-5.739693519126359	-0.22958774076505437
0.98	-0.533076272178246	-0.02132305088712984
0.78	-15.089024163703018	-0.6035609665481207
0.94	-10.626662046287183	-0.4250664818514873
1.03	-4.8123017681596245	-0.192492070726385
0.68	-14.434450520437197	-0.5773780208174879
1.03	-6.428146683318166	-0.2571258673327267
1.14	-10.243983791775284	-0.40975935167101135
1.33	-11.381421574345522	-0.4552568629738209
0.99	-18.738079467117647	-0.7495231786847059
1.05	-0.2084859957802454	-0.008339439831209817
0.81	-11.078469333646188	-0.44313877334584756
1.09	-7.1534266542594676	-0.2861370661703787
1.02	-2.7712182932298983	-0.11084873172919593
0.92	-13.059554861648348	-0.5223821944659339
0.91	-1.2370217136510964	-0.04948086854604385
0.97	-8.437178359658065	-0.3374871343863226
0.86	-14.319220324553195	-0.5727688129821278
0.98	-1.5614852982264613	-0.062459411929058455
1.08	-9.483127542962357	-0.3793251017184943
0.99	-1.33723573867065	-0.053489429546826
0.57	-14.157497286322629	-0.5662998914529052
0.97	-16.250564001339484	-0.6500225600535794
0.89	-4.112947513745517	-0.1645179005498207
0.73	-18.246736873254292	-0.7298694749301717
0.4	-1.0504128582316483	-0.04201651432926593
1.0	-16.678009895178164	-0.6671203958071266
0.43	-11.533049469227748	-0.46132197876910996
0.56	-15.385722209343381	-0.6154288883737352
1.28	-16.954330652088153	-0.6781732260835261
1.07	-9.31674388356753	-0.3726697553427012
0.96	-15.667894727756469	-0.6267157891102587
0.99	-12.059371849181195	-0.4823748739672478
1.04	-8.244724110565183	-0.32978896442260736
0.95	-8.38013439957914	-0.3352053759831656
0.74	-11.588677583584413	-0.46354710334337657
1.19	-9.665587239914611	-0.38662348959658444
0.8	-5.039636097945355	-0.2015854439178142
1.1	-8.150672367667216	-0.32602689470668866
0.83	-14.799808044608005	-0.5919923217843203
1.06	-8.59210522226257	-0.3436842088905028
0.91	-11.97332680824537	-0.4789330723298148
1.14	-13.624702724147078	-0.5449881089658831
0.89	-10.513640736423959	-0.42054562945695834
0.11	-3.3434130548302563	-0.13373652219321025
0.73	-12.687637550733061	-0.5075055020293224
1.0	-5.815988667943124	-0.23263954671772497
0.99	-0.7218116437391078	-0.028872465749564313
0.68	-3.014750173551869	-0.12059000694207477
1.03	-17.78776034151321	-0.7115104136605284
1.31	-7.3766755591364745	-0.295067022365459
1.05	-19.849314629090777	-0.7939725851636311
0.85	-23.03437862346622	-0.9213751449386489
0.95	-12.212770276468945	-0.48851081105875777
0.95	-10.52656629820067	-0.42106265192802683
0.57	-7.46767730038194	-0.2987070920152776
1.39	-4.691620399867274	-0.18766481599469095
0.97	-0.2265288594861703	-0.009061154379446813
0.8	-16.107497258632954	-0.6442998903453182
1.04	-6.697194693146718	-0.26788778772586874
1.21	-13.947825192743837	-0.5579130077097535
1.1	-3.1355052731041764	-0.12542021092416705
1.2	-12.958961009203422	-0.5183584403681369
0.64	-2.6162138916337745	-0.10464855566535099
1.01	-5.1518116457138525	-0.2060724658285541
0.99	-8.094379581598982	-0.3237751832639593
1.01	-2.4877031013913884	-0.09950812405565554
0.88	-4.045400223340661	-0.16181600893362647
1.1	-16.227319438653737	-0.6490927775461495
0.54	-3.0359732559355264	-0.12143893023742106
0.66	-4.370202220120375	-0.17480808880481502
0.9	-3.805425530994185	-0.1522170212397674
1.04	-4.725612562386601	-0.18902450249546404
0.83	-6.078692574002318	-0.24314770296009272
0.63	-21.792254792777552	-0.8716901917111021
0.27	-11.229857417215483	-0.4491942966886193
0.87	-2.471231940801769	-0.09884927763207076
1.02	-13.544010062117087	-0.5417604024846835
1.08	-4.542686619430725	-0.18170746477722902
0.83	-8.527787329371634	-0.3411114931748654
1.19	-14.723086366386298	-0.5889234546554519
0.97	-2.537848005741133	-0.10151392022964531
0.54	-2.712565680307533	-0.10850262721230132
0.59	-7.802049148827032	-0.3120819659530813
1.0	-5.013643911081177	-0.20054575644324707
1.13	-3.867392394937878	-0.15469569579751513
0.89	-21.167059328791748	-0.8466823731516699
0.6	-1.707970481476747	-0.06831881925906988
0.78	-11.012027744692652	-0.4404811097877061
0.68	-19.356029021058056	-0.7742411608423223
0.54	-2.0824047806763852	-0.08329619122705541
1.01	-4.004728638774873	-0.16018914555099492
1.06	-14.932488380347484	-0.5972995352138993
0.97	-7.594384371583719	-0.30377537486334877
1.22	-17.44730919331016	-0.6978923677324065
1.21	-9.219953431028603	-0.36879813724114413
0.54	-0.44286679744898105	-0.017714671897959243
1.33	-15.882955265247398	-0.6353182106098959
0.83	-3.436046601623168	-0.13744186406492673
0.97	-1.5515882387026143	-0.062063529548104575
1.05	-1.1932871624660866	-0.04773148649864346
1.02	-7.428916241005047	-0.2971566496402019
0.97	-4.7377155591324245	-0.18950862236529697
0.93	-2.4057504992119987	-0.09623001996847995
0.76	-6.816659609537109	-0.2726663843814844
0.52	-7.039083641099583	-0.28156334564398333
0.97	-2.629064253606564	-0.10516257014426256
1.05	-10.441788427565738	-0.41767153710262955
0.77	-1.2610150486990281	-0.05044060194796113
1.07	-20.403044285523944	-0.8161217714209578
0.89	-14.736506442339575	-0.589460257693583
1.19	-2.6760798519778377	-0.10704319407911352
0.95	-7.654146802562108	-0.30616587210248436
1.0	-7.248209298525347	-0.2899283719410139
0.55	-3.8276403242142036	-0.15310561296856814
0.98	-6.806187066030018	-0.27224748264120074
0.68	-5.108018571089022	-0.2043207428435609
0.7	-1.8859005877156392	-0.07543602350862556
0.8	-16.401441141481243	-0.6560576456592497
0.94	-7.905527760631207	-0.3162211104252483
0.85	-4.176866578477015	-0.16707466313908062
0.29	-5.4282401630515515	-0.21712960652206206
0.98	-9.93753223184316	-0.3975012892737264
0.68	-1.1013762390534731	-0.044055049562138925
0.83	-6.402975307848039	-0.2561190123139216
1.2	-0.8195917567092932	-0.03278367026837173
1.31	-5.707203363596135	-0.22828813454384542
1.31	-0.49895826792321696	-0.01995833071692868
1.03	-12.950119098294993	-0.5180047639317997
0.81	-17.585936497192765	-0.7034374598877107
1.09	-9.590989739808204	-0.3836395895923282
1.08	-11.701980750239395	-0.4680792300095758
