pl_orbper	st_mass	planet_mass	env_mass
323.21	2.09	-0.3018300957548305	-0.01207320383019322
516.21997	2.78	-1.9055046153920727	-0.0762201846156829
186.76	1.78	-8.090864399970796	-0.32363457599883183
1765.0389	0.91	-3.1707208354154752	-0.12682883341661902
1773.40002	0.9	-7.371266456521246	-0.29485065826084983
799.45	0.98	-8.18461426141759	-0.3273845704567036
798.5	0.99	-10.58488064418528	-0.4233952257674112
800.8	1.0	-7.908483951915708	-0.31633935807662833
798.5	1.08	-6.857486897623345	-0.2742994759049338
578.38	1.22	-18.8810680761452	-0.7552427230458081
982.85	2.1	-20.1889373950494	-0.807557495801976
30.33	1.05	-19.561457119539032	-0.7824582847815613
452.8	1.54	-5.001498590662412	-0.20005994362649648
406.0	0.48	-4.662759661550545	-0.1865103864620218
335.1	1.16	-17.503755052718137	-0.7001502021087255
345.4	1.16	-13.758846045423972	-0.5503538418169589
335.10001	1.93	-8.313381927736824	-0.33253527710947295
270.27	1.23	-14.619677804259407	-0.5847871121703763
479.1	0.98	-9.25106139741615	-0.37004245589664597
1076.6	1.06	-4.914071500305462	-0.19656286001221848
1078.0	1.06	-4.94749642243837	-0.19789985689753478
14002.0	1.06	-11.599870415800874	-0.46399481663203496
14965.0	1.65	-8.801237164742295	-0.3520494865896918
4.2307969	1.07	-14.771012340076155	-0.5908404936030462
4.231	1.04	-8.104423117439117	-0.3241769246975647
4.230785	1.03	-4.975049607283895	-0.1990019842913558
14.6516	0.91	-7.002260646519031	-0.2800904258607612
14.465314	0.9	-12.275912325321976	-0.49103649301287905
14.648	0.85	-15.44874336122614	-0.6179497344490456
14.65171	0.97	-6.497569029173764	-0.25990276116695055
14.65162	0.9	-3.0856831635279205	-0.12342732654111682
44.38	0.9	-13.2883940392712	-0.531535761570848
44.4175	0.95	-5.289529629433691	-0.21158118517734764
44.3989	0.91	-1.3927502810876127	-0.055710011243504505
43.93	0.95	-11.991060385453883	-0.47964241541815533
4517.4	0.95	-1.0106648330557013	-0.040426593322228054
5370.0	0.9	-9.51611183916893	-0.38064447356675724
5574.2	0.91	-7.009620907633573	-0.2803848363053429
4867.0	0.9	-12.067451584943115	-0.4826980633977246
5360.0	0.95	-1.2519477384186635	-0.05007790953674654
4820.0	0.97	-12.422966575385376	-0.49691866301541504
4825.0	0.95	-7.12712109105327	-0.28508484364213077
0.737	0.87	-2.3047705501759332	-0.09219082200703733
0.7365474	0.91	-9.446352226794339	-0.3778540890717736
0.7365515	0.95	-14.847003331523352	-0.5938801332609341
0.736539	0.9	-25.049513493759378	-1.0019805397503752
2.79674	0.9	-2.7915624152997314	-0.11166249661198925
0.73654	0.96	-5.638300753016624	-0.22553203012066497
260.91	0.9	-9.652487750386495	-0.38609951001545983
260.0	0.9	-7.374262583322707	-0.2949705033329083
261.2	0.9	-13.909064728245811	-0.5563625891298325
259.88	0.91	-7.2111660806976525	-0.2884466432279061
262.0	0.95	-5.759396712009015	-0.2303758684803606
899.0	1.7	-2.9357564421687945	-0.11743025768675178
874.774	1.82	-1.2893802858170347	-0.051575211432681387
919.86	1.32	-21.634085560973226	-0.865363422438929
934.3	1.44	-7.926075718529209	-0.31704302874116835
38.0957	0.91	-18.411752754558663	-0.7364701101823465
38.021	0.94	-1.0165614896590591	-0.040662459586362366
123.01	0.94	-0.46290255330353625	-0.01851610213214145
763.0	1.52	-15.58870413850341	-0.6235481655401364
735.1	1.34	-13.785150355193688	-0.5514060142077475
116.6884	1.11	-7.432389955102451	-0.29729559820409807
116.6926	1.09	-12.782627097221162	-0.5113050838888465
116.69335	1.06	-4.187051352691469	-0.16748205410765876
691.9	2.49	-8.010404111835303	-0.32041616447341215
2051.62	1.92	-7.3367876046895475	-0.2934715041875819
93.4	1.8	-4.344480660590115	-0.1737792264236046
1005.57	1.23	-13.705555068054208	-0.5482222027221684
181.4	1.4	-5.071217929563758	-0.20284871718255035
7520.0	1.2	-16.6365913057746	-0.665463652230984
8.463	0.5	-10.985122588050952	-0.4394049035220381
8.46308	0.51	-9.779689988316573	-0.3911875995326629
8.463	0.5	-4.219700627457159	-0.16878802509828636
8.4631427	0.6	-10.425030690278597	-0.4170012276111439
18.85969	0.51	-1.3734445678749536	-0.05493778271499815
12.73596	0.51	-6.7450336893883	-0.269801347575532
268.94	0.86	-8.680155190746031	-0.3472062076298413
268.94	0.49	-22.02803744141861	-0.8811214976567445
621.99	2.8	-1.7924243692270334	-0.07169697476908134
578.2	0.8	-4.08344950032034	-0.1633379800128136
41.688644	0.96	-7.423778694994791	-0.29695114779979165
307.88	0.81	-5.155560716728816	-0.20622242866915266
733.0	1.09	-1.489617454555409	-0.059584698182216365
2590.0	1.52	-0.22364612122081284	-0.008945844848832514
265.59	0.91	-6.040363747395922	-0.2416145498958369
1230.0	0.82	-10.137459608657542	-0.4054983843463017
125.94	0.7	-0.29337135070434883	-0.011734854028173954
3.48777	1.01	-3.3619446853221264	-0.13447778741288505
3.48777	1.47	-10.383194836322648	-0.41532779345290594
3.487	1.1	-8.360376854761977	-0.3344150741904791
1667.0	0.57	-22.302856482089773	-0.8921142592835909
1634.0	0.65	-11.55551477514619	-0.4622205910058476
714.29999	2.12	-2.2700623489348226	-0.09080249395739291
4.2889731	1.41	-15.739889254924481	-0.6295955701969793
655.59998	0.31	-14.109422362514142	-0.5643768945005657
655.57	0.74	-13.764739245286254	-0.5505895698114501
6360.0	0.68	-5.598060062129343	-0.22392240248517373
6240.0	0.69	-15.987861855164816	-0.6395144742065927
3.1533	0.16	-18.78602759158537	-0.7514411036634148
10037.5	0.02	-11.89144210406894	-0.4756576841627576
1.5089557	1.03	-1.4389291253135845	-0.05755716501254338
1.5089557	0.95	-4.210128829770119	-0.1684051531908048
13.2406	0.89	-2.9270649066396093	-0.11708259626558437
13.2406	0.89	-4.170473611740356	-0.16681894446961423
13.2406	0.9	-19.204493319783268	-0.7681797327913307
2.99427803	1.27	-0.2973592582592609	-0.011894370330370437
