trial star/#dMass star/dMass planet/#dMass planet/dMass planet/dEnvelopeMass planet/dOrbPeriod 
rand_0000 2.249086 0.971392 5.756588 -0.902668 -0.007161 -27.557462 
rand_0001 2.919886 0.430000 3.480007 -4.280435 -0.490356 -28.362173 
rand_0002 1.938314 0.990000 2.113056 -2.035653 -0.065010 -25.981140 
rand_0003 3.109206 0.780000 2.935163 -2.528464 -0.114047 -27.705677 
rand_0004 3.328377 1.225745 0.714872 -1.318639 -0.019983 -17.034146 
rand_0005 1.050880 1.041304 12.612311 -1.694895 -0.039631 -10.494211 
rand_0006 3.160535 1.169760 1.079233 -2.899193 -0.167828 -43.824490 
rand_0007 4.492174 0.812633 5.150112 -2.606648 -0.125903 -29.400063 
rand_0008 3.245242 0.970000 5.326978 -3.804144 -0.353274 -28.908179 
rand_0009 1.817668 0.460000 2.526902 -3.804639 -0.348645 -45.939390 
rand_0010 1.690979 1.017430 2.158713 -1.656798 -0.037103 -20.553745 
rand_0011 2.318385 1.080000 2.368768 -4.218939 -0.469273 -55.826198 
rand_0012 2.239500 0.870000 1.843344 -4.048481 -0.414079 -24.686368 
rand_0013 2.294241 1.155092 1.928676 -2.112294 -0.071752 -40.066786 
rand_0014 2.021655 0.870000 1.697882 -3.303867 -0.239598 -42.739695 
rand_0015 1.997342 0.810000 3.583540 -8.411737 -2.978923 -31.461713 
rand_0016 3.054112 0.140041 12.647478 -1.799584 -0.045676 -37.269190 
rand_0017 1.435544 0.728775 1.618017 -0.720609 -0.003883 -28.638502 
rand_0018 1.181131 1.135996 19.750461 -0.712037 -0.003827 -17.588717 
rand_0019 5.721362 0.339062 8.069302 -2.376769 -0.098819 -49.315452 
rand_0020 2.929811 1.129290 11.252861 -3.107440 -0.198800 -38.339216 
rand_0021 3.542133 1.300000 1.821471 -3.080022 -0.198173 -53.942065 
rand_0022 1.821612 0.940000 12.003802 -7.083988 -1.847745 -26.046396 
rand_0023 2.418033 0.810000 2.276864 -4.715109 -0.619792 -33.328023 
rand_0024 4.602260 1.200000 0.607505 -3.103843 -0.204563 -53.967607 
rand_0025 1.274372 1.296998 5.369916 -2.111723 -0.070305 -28.695295 
rand_0026 1.831166 1.319432 0.788852 -2.203933 -0.080128 -37.533361 
rand_0027 1.405444 1.320293 3.148722 -1.553020 -0.030986 -12.133748 
rand_0028 3.444012 0.867448 2.245379 -1.116507 -0.012779 -32.276351 
rand_0029 1.566369 0.886107 5.342424 -2.121527 -0.072373 -35.182655 
rand_0030 3.847463 1.039245 0.527084 -2.292158 -0.089297 -40.391669 
rand_0031 3.210445 0.625534 0.599136 -2.671668 -0.137304 -49.574206 
rand_0032 6.603004 1.097372 1.387596 -0.990049 -0.009193 -36.654736 
rand_0033 1.519325 1.310000 3.946483 -6.600820 -1.533706 -19.043667 
rand_0034 2.173558 0.583516 1.821546 -0.310951 -0.000408 -49.478134 
rand_0035 5.024630 0.739293 7.960464 -1.438459 -0.024631 -42.257714 
rand_0036 1.960032 1.050000 2.168022 -2.506545 -0.114872 -57.571177 
rand_0037 1.486380 1.390650 0.852012 -2.807066 -0.152245 -33.042575 
rand_0038 2.014166 0.654554 0.870187 -1.389292 -0.023027 -25.362953 
rand_0039 2.721340 0.510000 0.622834 -1.768649 -0.044629 -15.549500 
rand_0040 5.808810 1.116455 12.229061 -1.980349 -0.059411 -26.578529 
rand_0041 5.096563 1.020000 3.136505 -5.656864 -1.037841 -17.460392 
rand_0042 4.341023 1.080000 3.694029 -4.847344 -0.679714 -17.892846 
rand_0043 2.068835 1.080000 1.898515 -5.099177 -0.765609 -22.390586 
rand_0044 2.486966 0.970000 2.389177 -1.256750 -0.017342 -51.737274 
rand_0045 6.554121 0.966287 3.530883 -2.834762 -0.157532 -18.885682 
rand_0046 2.829992 0.796243 2.358030 -2.917625 -0.170181 -14.220097 
rand_0047 2.573065 0.780000 0.660640 -2.504963 -0.114356 -11.074982 
rand_0048 3.265295 0.423759 0.893928 -3.083908 -0.200471 -30.088473 
rand_0049 1.950512 0.970000 1.007547 -1.338209 -0.020684 -20.544542 
rand_0050 1.755682 0.840000 3.604017 -3.386388 -0.254971 -41.640361 
rand_0051 1.544977 0.980000 3.159203 -3.113684 -0.203282 -54.930213 
rand_0052 2.141624 0.850000 5.157580 -3.439674 -0.267431 -10.235923 
rand_0053 3.170227 0.900000 1.184529 -7.674317 -2.345348 -53.488712 
rand_0054 2.459517 0.340000 5.428244 -1.406563 -0.023345 -16.383707 
rand_0055 1.028538 0.518899 0.982165 -1.908009 -0.054588 -24.396127 
rand_0056 2.951417 1.000000 10.609023 -3.229243 -0.225017 -46.357940 
rand_0057 1.819290 0.700000 1.304514 -7.499528 -2.215532 -12.155158 
rand_0058 1.413058 1.190000 5.698079 -4.838143 -0.669238 -40.421878 
rand_0059 1.921944 0.620000 5.397541 -2.666091 -0.133412 -11.706953 
rand_0060 3.654003 1.061940 2.675821 -0.950689 -0.008371 -46.246866 
rand_0061 2.158318 0.320000 3.627553 -1.960101 -0.058384 -50.347457 
rand_0062 2.967015 0.940000 3.209550 -3.865564 -0.359087 -45.539277 
rand_0063 1.722113 0.990000 10.823004 -7.875170 -2.470110 -38.244517 
rand_0064 3.530989 0.178779 0.420037 -1.741702 -0.042931 -27.319497 
rand_0065 4.539800 1.175732 11.472221 -0.526038 -0.001691 -29.256183 
rand_0066 3.834257 0.470583 5.354776 -3.757526 -0.337596 -41.711910 
rand_0067 6.591031 1.218220 3.932745 -2.907414 -0.168281 -44.832125 
rand_0068 1.668449 0.830000 0.648547 -5.572538 -0.977894 -30.137209 
rand_0069 2.776407 0.970000 0.803034 -3.114170 -0.202971 -22.960666 
rand_0070 0.805260 1.010000 3.248176 -1.120017 -0.012937 -50.017596 
rand_0071 4.802711 0.920000 2.239619 -3.953535 -0.384952 -13.834756 
rand_0072 3.079469 1.249211 2.537457 -2.466093 -0.108306 -38.833878 
rand_0073 5.050971 0.780314 0.373163 -2.562612 -0.121273 -25.037377 
rand_0074 2.961182 0.850000 8.545261 -2.107883 -0.070145 -15.720344 
rand_0075 9.079530 0.950000 2.148606 -5.895041 -1.129831 -33.356939 
rand_0076 1.819861 1.260000 6.215590 -4.786750 -0.654568 -56.302176 
rand_0077 2.778402 1.230000 0.237496 -2.720223 -0.142099 -27.241211 
rand_0078 3.273825 0.980000 1.776400 -2.757885 -0.146232 -33.298119 
rand_0079 1.212096 0.700000 0.722262 -2.974097 -0.179911 -39.123100 
rand_0080 3.577900 0.303543 0.953854 -0.575245 -0.002125 -14.222772 
rand_0081 1.365678 1.090000 5.014141 -5.280674 -0.850453 -15.146186 
rand_0082 2.340700 1.180000 0.330646 -2.495349 -0.109780 -33.304083 
rand_0083 6.363039 0.943732 2.284278 -2.200229 -0.079392 -11.476971 
rand_0084 9.529252 1.060000 10.337153 -3.665186 -0.315192 -27.853927 
rand_0085 4.431455 1.030000 0.277355 -0.437726 -0.001027 -28.040569 
rand_0086 1.777909 0.732344 2.260247 -1.121628 -0.012951 -49.944101 
rand_0087 5.061945 0.540000 1.403357 -1.488495 -0.028023 -27.266220 
rand_0088 3.298834 0.813609 35.241940 -1.255411 -0.017547 -25.180959 
rand_0089 2.497092 1.320000 0.475227 -5.580788 -0.968549 -19.864263 
rand_0090 4.790752 0.630000 2.652258 -6.513368 -1.495753 -13.911786 
rand_0091 4.201189 0.760000 0.856435 -3.591199 -0.297390 -47.332051 
rand_0092 0.954053 0.900000 0.638417 -5.107157 -0.776403 -45.036548 
rand_0093 1.053331 0.942354 8.826763 -2.662452 -0.133833 -40.139999 
rand_0094 4.221881 0.970571 4.049414 -1.537158 -0.030099 -13.783836 
rand_0095 3.188198 0.914178 0.446433 -1.593629 -0.033166 -49.632572 
rand_0096 7.691314 0.210557 1.124334 -1.420352 -0.024565 -38.948661 
rand_0097 3.458010 0.957762 0.375073 -0.276952 -0.000292 -27.400824 
rand_0098 3.876392 0.355060 11.617809 -1.405722 -0.023556 -15.436261 
rand_0099 0.483827 1.030000 0.363530 -2.749251 -0.145341 -14.887437 
rand_0100 0.953114 0.810000 0.985395 -5.946059 -1.154829 -37.401968 
rand_0101 2.346470 1.150000 0.670532 -4.993190 -0.723517 -47.040783 
rand_0102 1.418648 1.393056 1.562737 -1.898005 -0.053841 -22.356761 
rand_0103 2.118274 0.760000 44.605031 -2.001028 -0.061044 -47.285753 
rand_0104 1.696526 0.810000 0.445238 -4.059431 -0.412790 -15.437257 
rand_0105 3.157680 0.885076 5.213481 -1.972027 -0.059785 -32.946624 
rand_0106 3.105192 0.570000 0.224913 -1.966722 -0.059122 -53.961309 
rand_0107 2.057534 1.315324 0.293158 -1.483363 -0.027420 -25.649101 
rand_0108 1.952233 0.913295 8.298139 -1.626677 -0.035521 -29.456372 
rand_0109 2.134002 0.720000 6.627169 -2.294373 -0.089694 -56.317123 
rand_0110 3.073737 1.038471 1.445887 -0.644139 -0.002840 -24.875295 
rand_0111 1.840991 0.990000 1.028316 -7.036986 -1.824291 -51.244227 
rand_0112 2.586418 1.073110 3.644076 -1.549821 -0.031026 -14.867524 
rand_0113 3.405273 0.800000 1.433895 -1.160897 -0.014074 -16.161376 
rand_0114 4.055040 1.050000 10.588445 -4.670742 -0.609667 -11.118667 
rand_0115 2.335944 0.259116 0.437650 -1.974296 -0.060251 -19.757069 
