stellar_mass	orb_period	planet_mass	env_mass
0.91	-40.87504858263735	-5.177954445846318	-1.1762903539582166
0.14	-34.32734956325241	-5.542634402749499	-1.1084070869904707
1.03	-33.834037778203665	-4.036188151209595	-1.2682721419631753
1.25	-10.73544178031463	-3.2978775950506156	-1.3326136088522846
0.5	-44.95758458037335	-1.9369885124843138	-1.2773988501854057
0.82	-20.3651681126452	-5.281138570739314	-1.1093983922287465
0.83	-47.801860591129156	-4.628539778197855	-1.273042121030275
1.12	-40.095470424418096	-6.854839115264388	-1.0125626327859867
1.07	-39.0566310195815	-3.278827948301948	-1.1160517424859024
1.21	-11.56539564118727	-5.499325498945589	-1.0299686086162914
0.97	-26.75674236684759	-6.460605442967797	-1.2331722502063964
0.96	-17.60561713572315	-4.348440124806336	-1.2291616312183784
1.0	-10.443850031379732	-2.654536465195691	-1.2145126245978866
0.66	-12.00170895481417	-4.781779956230337	-1.145003110808618
0.46	-23.0472896444279	-3.905501793016067	-1.016311687062845
0.97	-44.05072442545056	-1.8473966315686043	-1.2455537001731174
0.87	-19.760588734536046	-2.3901409130540654	-1.180052849258258
0.99	-33.95609732552808	-1.7004482467673845	-1.1658731055231286
1.06	-37.285934674917584	-5.30666757604754	-1.12506658995408
1.19	-24.461207740485662	-3.3607256644984553	-1.3125183508964353
0.63	-36.23280295436328	-4.7848593427431405	-1.1591147034821139
0.97	-22.362317925499163	-4.7926710914287804	-1.297251726711874
1.27	-38.24986345425476	-2.684623941891879	-1.0332166087735075
0.99	-35.71070291836776	-4.107960449351261	-1.1979942321940642
0.22	-40.391197006637974	-4.181916688425751	-1.0964220994813547
0.89	-24.32335860765473	-3.70231186508726	-1.2873723926219076
0.58	-29.433935633417967	-6.65192483085449	-1.1462932838408955
1.16	-17.11308881455032	-5.538056016737797	-1.0845761494930444
1.07	-18.17496569238095	-4.877571560768334	-1.0195904222184557
0.6	-16.991249199715423	-2.485678070664469	-1.1882732851418139
0.92	-49.96212908737219	-4.208257224503312	-1.192076209748955
0.95	-43.68217671903035	-1.3059859226291275	-1.165670181467403
0.88	-22.300004626737866	-5.694361959473645	-1.1350154199310845
0.51	-26.750814910924866	-2.7554918604823464	-1.2766371193694988
0.54	-16.675437589973757	-8.525794768629954	-1.029742092350971
0.68	-24.192778103769648	-2.746702561111837	-1.2355010974652185
1.09	-38.35839038607912	-2.561780572119817	-1.1066801064488472
1.02	-24.143512430401472	-2.697178944769619	-1.2136151571277543
1.14	-42.99486944998351	-2.30275346348875	-1.2823110876494226
0.93	-24.603658588745265	-2.7808323415812373	-1.0266800330581705
1.24	-44.193438818099516	-2.3268756857558976	-1.1110282078194489
0.96	-14.909309117101323	-2.467696670590925	-1.0137118257176043
1.06	-41.35775247910642	-3.7784939701437965	-1.2640954390918893
1.01	-10.241350763152429	-3.576400444616516	-1.31995684977433
0.84	-38.106541681685115	-5.759299482592992	-1.2105902057141251
