pl_orbper	st_mass	planet_mass	env_mass
326.03	2.7	-6.5638785723516655	-0.2625551428940666
323.21	2.09	-16.502923676936366	-0.6601169470774546
186.76	1.78	-10.100589427789672	-0.4040235771115869
185.84	2.2	-11.656695381995934	-0.4662678152798374
1765.0389	0.91	-2.51782315735228	-0.1007129262940912
1773.40002	0.9	-17.247336932681424	-0.689893477307257
798.5	0.99	-5.972894294407483	-0.23891577177629933
800.8	1.0	-14.04012171897441	-0.5616048687589764
798.5	1.08	-2.9195897124267334	-0.11678358849706934
578.38	1.22	-8.658190479207619	-0.34632761916830473
982.85	2.1	-3.656155931186425	-0.146246237247457
30.33	1.05	-10.444200756169437	-0.4177680302467775
335.1	1.16	-8.056984543400151	-0.32227938173600607
345.4	1.16	-11.848464078587122	-0.4739385631434849
335.10001	1.93	-5.8140535393676185	-0.23256214157470476
270.27	1.23	-13.744846231545383	-0.5497938492618153
269.3	1.23	-13.902809340184294	-0.5561123736073718
479.1	0.98	-5.910931447805471	-0.23643725791221884
1076.6	1.01	-0.419121380420054	-0.016764855216802158
2391.0	1.06	-1.2322930798766591	-0.04929172319506637
19000.0	1.01	-14.083473666740598	-0.5633389466696239
14965.0	1.65	-3.1142345298098935	-0.12456938119239575
11688.0	1.65	-19.80716758135506	-0.7922867032542024
4.231	1.04	-8.899026764843908	-0.3559610705937563
14.6516	0.91	-13.574974661842688	-0.5429989864737076
14.65171	0.97	-8.50815663544439	-0.3403262654177756
14.65162	0.9	-4.934392296013469	-0.19737569184053874
44.373	0.9	-24.37040813106827	-0.9748163252427309
44.3787	0.9	-30.901105242837872	-1.236044209713515
44.3827	0.97	-6.070215675259686	-0.24280862701038744
44.4175	0.95	-12.724738754896293	-0.5089895501958518
44.3989	0.91	-0.2089577248016734	-0.008358308992066936
43.93	0.95	-3.6934111620453853	-0.14773644648181541
5218.0	0.9	-1.189370242321997	-0.04757480969287988
5370.0	0.9	-10.979629054166217	-0.4391851621666487
4909.0	0.9	-10.198417414719124	-0.40793669658876497
5574.2	0.91	-8.508903570167773	-0.3403561428067109
4867.0	0.9	-13.873265385059007	-0.5549306154023603
5360.0	0.95	-11.442704794555375	-0.457708191782215
4820.0	0.97	-20.509762923363567	-0.8203905169345427
4825.0	0.95	-1.6522118670199735	-0.06608847468079894
0.737	0.87	-6.451355200875296	-0.25805420803501183
0.7365515	0.95	-2.270028027052896	-0.09080112108211584
0.736539	0.9	-20.369266514487766	-0.8147706605795106
0.7365478	0.9	-0.9386710342361051	-0.0375468413694442
0.7365445	0.97	-15.831968264383224	-0.633278730575329
0.73654	0.96	-0.5029214175207439	-0.020116856700829758
260.91	0.9	-5.115309544051589	-0.2046123817620636
260.7	0.9	-14.360810667837448	-0.5744324267134979
260.98	0.97	-6.158548948356434	-0.24634195793425737
261.2	0.9	-24.965656442360043	-0.9986262576944017
262.0	0.95	-15.583734612300749	-0.6233493844920299
874.774	1.82	-8.489197415419161	-0.33956789661676645
934.3	1.44	-6.939650759707505	-0.2775860303883002
4.21487	0.91	-7.4584216152232035	-0.29833686460892817
38.0957	0.91	-3.8369574743623165	-0.15347829897449267
123.01	0.94	-6.518393169585455	-0.26073572678341816
735.1	1.34	-7.7536082144213925	-0.3101443285768557
116.6884	1.11	-4.632969844892483	-0.18531879379569932
116.688	1.09	-0.9347166116821619	-0.037388664467286475
116.6926	1.09	-12.290306795508258	-0.4916122718203303
116.69335	1.06	-15.39945398483648	-0.6159781593934592
116.6884	1.14	-8.27234651331166	-0.33089386053246644
696.62	1.92	-7.434646129232426	-0.29738584516929706
691.9	2.49	-12.365000245308156	-0.49460000981232627
93.4	1.44	-11.437581957367208	-0.4575032782946883
93.4	1.8	-15.194687153832795	-0.6077874861533118
181.4	1.4	-0.7947489541498256	-0.031789958165993025
8030.0	1.2	-5.250147247766506	-0.21000588991066024
8.4629991	0.5	-17.571882292643892	-0.7028752917057557
8.46308	0.51	-30.98800732668421	-1.2395202930673686
8.4631427	0.6	-3.1770925817939997	-0.12708370327176
18.858991	0.5	-6.25274663754705	-0.250109865501882
18.85882	0.6	-3.3706387494277332	-0.13482554997710933
