stellar_mass	orb_period	planet_mass	env_mass
1.01	-18.604189552490205	-7.550927897152631	-2.200406387214278
0.58	-10.2876294340742	-4.330776138678125	-0.49319577887863686
0.93	-34.17955981360724	-6.300749341778577	-1.3521778707381014
0.4	-43.98231032867759	-6.1409160673585115	-1.281534104221462
1.12	-23.967421309420764	-5.280495973256942	-0.8479691025641061
0.99	-24.213185655258787	-2.4330192510045734	-0.10558324634421558
0.53	-41.77446957587585	-5.834331175472965	-1.1020225339472058
1.11	-46.640116362494865	-3.3703711416926474	-0.25077555843344523
0.9	-53.48871150448544	-7.674317008026919	-2.345348254909624
0.27	-25.176641918272182	-1.9607936120017775	-0.05823794772937966
0.78	-40.99285855561857	-5.003171209259068	-0.7271034222706207
0.7	-57.71473238992394	-5.76425790214911	-1.078873276645536
0.52	-21.650869500241157	-4.662895897624788	-0.6087892956790011
0.78	-19.876551062381456	-4.295242408560039	-0.48314742392047044
0.97	-24.232001785248716	-2.5537901400288843	-0.11803719219706006
0.17	-55.243327651458806	-4.89608964876133	-0.6896161393855131
0.91	-30.245291022045087	-2.062112195961483	-0.06604176736973459
0.7	-41.86092429140284	-3.3127226889222205	-0.2414031398982866
1.25	-26.09313909459058	-2.7015314058652566	-0.1406882779487807
0.63	-35.313874868414075	-4.389996240282967	-0.5148458577280968
1.08	-48.02398146930017	-1.1754184042478022	-0.01474128924129373
0.97	-21.38134527087855	-1.1297332767161015	-0.013247868569828724
1.07	-41.79127315030196	-2.549486082994766	-0.11876405038706817
0.53	-31.301307691935854	-7.850422356825687	-2.4796624805901955
0.78	-49.69905146047091	-3.3288122403342553	-0.24109083966074113
0.97	-59.346532895080166	-6.3387832581921995	-1.4098793311118722
0.95	-58.38407696095041	-4.850760620407494	-0.6783356051920432
1.01	-18.79094916483831	-3.0451182017831564	-0.18863457494043312
0.88	-45.98436493369566	-1.7075011292234104	-0.04017213083874435
0.7	-41.310540029469195	-5.208510215455721	-0.817778265552882
1.0	-51.9090996887759	-1.1020466120484358	-0.01225530519897364
0.84	-15.423582954186529	-2.9070689080347605	-0.16743206047393894
0.83	-22.03914103742642	-3.6345069211185956	-0.31130749110747313
1.02	-18.95898546505794	-2.376493081581369	-0.09795708308199252
0.59	-17.332183584258466	-0.9970058603064158	-0.009492839183399005
0.78	-17.36808622652909	-2.2099601473404333	-0.08041955783918966
1.08	-56.34020345301959	-6.596893080591718	-1.5537327144874413
0.88	-37.7789723491153	-1.6410772589900253	-0.03716162337861661
1.19	-48.64520973122	-3.4903542670441174	-0.27643148002988605
1.02	-20.244298647562246	-2.3748003875911277	-0.09865768403013567
0.89	-44.30381490500909	-6.939280713271389	-1.7757730329540915
0.51	-10.692266065145192	-3.053234621311091	-0.1913637110851614
0.68	-46.072333802309025	-5.579926991705761	-0.9865057251451893
1.03	-17.344848364011717	-3.602682184678476	-0.2977798933612846
1.02	-18.16102560689785	-1.9316309872656465	-0.055641127548530435
1.26	-16.951040931637582	-3.7758473669333115	-0.33500398563999084
1.07	-28.20878283126391	-1.580736162427898	-0.031971462381757736
0.91	-47.116361894655775	-4.977840292205316	-0.7087306638861439
0.79	-54.77650259466247	-5.078626560585678	-0.7622128173982052
0.99	-42.373188630272324	-4.647064100311105	-0.5925210293839641
0.88	-18.382297560883337	-7.61679812199036	-2.2815949687314157
0.81	-32.55039091237163	-1.8861395048727785	-0.05297841390543932
0.77	-58.20779567019386	-5.904137666249326	-1.1308658110426066
0.55	-17.51165391931577	-1.8862800836421838	-0.05145504975877909
0.72	-24.823557112999698	-3.0575634680887096	-0.19305628530600052
1.05	-21.532754726814826	-7.096827420377595	-1.8913833986837205
0.98	-38.95325708161238	-1.311115280947405	-0.019641490442055716
1.11	-26.84747985862408	-4.00490831056089	-0.40362980208329285
0.19	-19.908651122977112	-2.6434922176543516	-0.13086160861326582
1.0	-11.28828875108728	-4.432017327610355	-0.5366459566868943
1.08	-21.08011884516759	-1.79180210511374	-0.04616797830441422
0.78	-47.46865794792138	-0.6962665643494538	-0.003538983567899019
1.01	-58.79498173107223	-0.7855058288623851	-0.004949785539791869
1.03	-23.701744292524033	-2.915903707535593	-0.16878339522065927
0.45	-49.20804140204462	-3.705335559468262	-0.3305753315854773
0.9	-51.21760825695534	-2.3540083735589614	-0.09503041001171272
0.71	-55.09855279015229	-2.5581756366452337	-0.11924675666681163
0.61	-24.87393532223019	-3.762762555136277	-0.33565793431368807
1.02	-13.971872451902092	-1.3582787191605785	-0.02201525136105069
1.07	-55.96516606677707	-5.796185047267031	-1.0943969689257762
